Nom,Activité,Ville,Adresse,Code Postal,Téléphone,Forme Juridique,Description,Année de création,Nombre d'employés,Chiffre d'affaires,SIREN
"LA POSTE (DIRECTION GENERALE DE LA POSTE)","53.10Z","PARIS","Rue du Colonel Pierre Avia 75015 Paris","75015","","5510","","","53","","356000000"
"ELECTRICITE DE FRANCE (EDF)","35.11Z","PARIS","22 Avenue de Wagram 75008 Paris","75008","","5599","","","53","","552081317"
"ELIOR RESTAURATION FRANCE (ELIOR RESTAURATION ENSEIGNEMENT - ELIOR RESTAURATION SANTE)","56.29B","CRETEIL","51 Chemin des Meches 94000 Créteil","94000","","5710","","","52","","662025196"
"VILLE DE PARIS","84.11Z","PARIS 04","4 Place de l' Hotel de Ville - Esplanade de la Libération 75004 Paris","75004","","7229","","","53","","217500016"
"SOCIETE GENERALE (SOCIETE GENERALE) (SG)","64.19Z","PARIS","29 Boulevard Haussmann 75009 Paris","75009","","5599","","","53","","552120222"
"SNCF RESEAU","52.21Z","SAINT-DENIS","15 Rue Jean-philippe Rameau 93200 Saint-Denis","93200","","5599","","","53","","412280737"
"CROIX ROUGE FRANCAISE (CRF)","88.99B","PARIS","98 Rue Didot 75014 Paris","75014","","9230","","","53","","775672272"
"BNP PARIBAS (HELLO BANK!)","64.19Z","PARIS","16 Boulevard des Italiens 75009 Paris","75009","","5599","","","53","","662042449"
